LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 37183  |   NC   |          Wake County          |    -7   |   -49   |
| 48091  |   TX   |          Comal County         |   -29   |   -49   |
| 48441  |   TX   |         Taylor County         |   -23   |   -49   |
| 53007  |   WA   |         Chelan County         |   -22   |   -49   |
| 41071  |   OR   |         Yamhill County        |   -26   |   -50   |
| 48167  |   TX   |        Galveston County       |   -17   |   -50   |
| 49011  |   UT   |          Davis County         |   -15   |   -50   |
| 32019  |   NV   |          Lyon County          |   -26   |   -51   |
| 46099  |   SD   |        Minnehaha County       |   -25   |   -51   |
| 06089  |   CA   |         Shasta County         |   -19   |   -52   |
| 13117  |   GA   |         Forsyth County        |   -22   |   -52   |
| 53067  |   WA   |        Thurston County        |   -29   |   -52   |
| 08037  |   CO   |          Eagle County         |   -21   |   -53   |
| 12095  |   FL   |         Orange County         |    0    |   -53   |
| 19103  |   IA   |         Johnson County        |   -29   |   -53   |
| 30063  |   MT   |        Missoula County        |   -35   |   -53   |
| 37081  |   NC   |        Guilford County        |   -11   |   -53   |
| 06075  |   CA   |      San Francisco County     |   -121  |   -54   |
| 13057  |   GA   |        Cherokee County        |   -23   |   -54   |
| 16083  |   ID   |       Twin Falls County       |   -22   |   -55   |
| 05131  |   AR   |        Sebastian County       |   -27   |   -56   |
| 32023  |   NV   |           Nye County          |   -31   |   -57   |
| 40031  |   OK   |        Comanche County        |   -25   |   -57   |
| 48041  |   TX   |         Brazos County         |   -31   |   -57   |
| 53073  |   WA   |         Whatcom County        |   -19   |   -57   |
| 08123  |   CO   |          Weld County          |   -25   |   -58   |
| 49005  |   UT   |          Cache County         |   -27   |   -58   |
| 51810  |   VA   |      Virginia Beach city      |   -26   |   -58   |
| 53021  |   WA   |        Franklin County        |   -25   |   -59   |
| 57009  |   FR   |     Foreign - Other flows     |   -31   |   -59   |
| 08045  |   CO   |        Garfield County        |   -26   |   -60   |
| 12009  |   FL   |         Brevard County        |   -28   |   -60   |
| 12103  |   FL   |        Pinellas County        |   -23   |   -60   |
| 20173  |   KS   |        Sedgwick County        |   -24   |   -60   |
| 53057  |   WA   |         Skagit County         |   -31   |   -61   |
| 06055  |   CA   |          Napa County          |   -40   |   -62   |
| 48157  |   TX   |        Fort Bend County       |    -6   |   -62   |
| 49043  |   UT   |         Summit County         |   -31   |   -62   |
| 31055  |   NE   |         Douglas County        |   -13   |   -64   |
| 48135  |   TX   |          Ector County         |   -31   |   -64   |
| 49053  |   UT   |       Washington County       |   -36   |   -64   |
| 06061  |   CA   |         Placer County         |   -29   |   -66   |
| 13067  |   GA   |          Cobb County          |   -31   |   -66   |
| 06047  |   CA   |         Merced County         |   -10   |   -69   |
| 20209  |   KS   |        Wyandotte County       |   -29   |   -69   |
| 13089  |   GA   |         DeKalb County         |   -18   |   -70   |
| 06025  |   CA   |        Imperial County        |   -16   |   -71   |
| 08001  |   CO   |          Adams County         |   -30   |   -71   |
| 53077  |   WA   |         Yakima County         |   -14   |   -71   |
| 08013  |   CO   |         Boulder County        |   -24   |   -74   |
| 12101  |   FL   |          Pasco County         |   -15   |   -75   |
| 53061  |   WA   |        Snohomish County       |   -56   |   -75   |
| 58000  |   SS   |    Other flows - Same State   |   -23   |   -76   |
| 15003  |   HI   |        Honolulu County        |   -38   |   -77   |
| 04005  |   AZ   |        Coconino County        |   -41   |   -80   |
| 06007  |   CA   |          Butte County         |   -42   |   -82   |
| 48339  |   TX   |       Montgomery County       |   -41   |   -82   |
| 13135  |   GA   |        Gwinnett County        |   -21   |   -84   |
| 53063  |   WA   |         Spokane County        |   -28   |   -84   |
| 06019  |   CA   |         Fresno County         |    19   |   -86   |
| 08069  |   CO   |         Larimer County        |   -48   |   -87   |
| 16055  |   ID   |        Kootenai County        |   -36   |   -88   |
| 06095  |   CA   |         Solano County         |   -25   |   -91   |
| 08031  |   CO   |         Denver County         |   -61   |   -91   |
| 08059  |   CO   |        Jefferson County       |   -46   |   -94   |
| 08035  |   CO   |         Douglas County        |   -44   |   -96   |
| 41047  |   OR   |         Marion County         |   -41   |   -97   |
| 47037  |   TN   |        Davidson County        |   -43   |   -97   |
| 06099  |   CA   |       Stanislaus County       |   -16   |   -98   |
| 06077  |   CA   |       San Joaquin County      |   -22   |   -102  |
| 53029  |   WA   |         Island County         |   -51   |   -102  |
| 08041  |   CO   |         El Paso County        |   -53   |   -111  |
| 04021  |   AZ   |          Pinal County         |   -56   |   -112  |
| 12031  |   FL   |          Duval County         |   -46   |   -112  |
| 41017  |   OR   |        Deschutes County       |   -73   |   -114  |
| 49049  |   UT   |          Utah County          |   -38   |   -114  |
| 41029  |   OR   |         Jackson County        |   -66   |   -118  |
| 06081  |   CA   |        San Mateo County       |   -83   |   -120  |
