NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
|    39041    |       OH      |        Delaware County        |    12   |    15   |
|    15009    |       HI      |          Maui County          |    10   |    14   |
|    20173    |       KS      |        Sedgwick County        |    11   |    14   |
|    23009    |       ME      |         Hancock County        |    11   |    14   |
|    36115    |       NY      |       Washington County       |    11   |    14   |
|    39155    |       OH      |        Trumbull County        |    12   |    14   |
|    51095    |       VA      |       James City County       |    11   |    14   |
|    17037    |       IL      |         DeKalb County         |    10   |    13   |
|    20045    |       KS      |         Douglas County        |    11   |    13   |
|    22103    |       LA      |       St. Tammany Parish      |    10   |    13   |
|    26139    |       MI      |         Ottawa County         |    11   |    13   |
|    57007    |       FR      |  Foreign - US Virgin Islands  |    10   |    13   |
|    18157    |       IN      |       Tippecanoe County       |    11   |    12   |
|    53063    |       WA      |         Spokane County        |    11   |    12   |
|    53073    |       WA      |         Whatcom County        |    12   |    12   |
|    48355    |       TX      |         Nueces County         |    10   |    11   |
+-------------+---------------+-------------------------------+---------+---------+
